id,ans
0,A
1,B
2,C
3,C
4,C
5,B
6,A
7,A
8,B
9,B
10,B
11,B
12,A
13,B
14,A
15,A
16,A
17,A
18,A
19,B
20,B
21,C
22,A
23,B
24,B
25,B
26,B
27,B
28,A
29,A
30,A
31,A
32,C
33,A
34,B
35,B
36,A
37,A
38,B
39,A
40,A
41,A
42,C
43,B
44,A
45,A
46,A
47,C
48,B
49,C
50,B
51,A
52,B
53,A
54,A
55,B
56,C
57,B
58,B
59,A
60,B
61,B
62,A
63,A
64,B
65,B
66,B
67,A
68,C
69,C
70,A
71,B
72,A
73,B
74,C
75,C
76,B
77,B
78,B
79,C
80,B
81,B
82,C
83,B
84,B
85,B
86,B
87,A
88,A
89,B
90,B
91,B
92,B
93,B
94,C
95,B
96,C
97,A
98,A
99,A
100,A
101,C
102,B
103,A
104,A
105,B
106,B
107,C
108,B
109,A
110,A
111,A
112,A
113,C
114,B
115,A
116,B
117,B
118,B
119,A
120,A
121,B
122,B
123,B
124,B
125,B
126,B
127,B
128,B
129,B
130,A
131,B
132,A
133,C
134,B
135,B
136,B
137,B
138,B
139,B
140,B
141,B
142,C
143,B
144,C
145,A
146,A
147,B
148,A
149,B
150,C
151,B
152,B
153,B
154,B
155,A
156,B
157,C
158,A
159,B
160,B
161,A
162,B
163,B
164,A
165,B
166,B
167,A
168,B
169,C
170,A
171,B
172,B
173,C
174,B
175,A
176,B
177,A
178,C
179,B
180,B
181,A
182,C
183,A
184,B
185,B
186,B
187,B
188,B
189,A
190,B
191,B
192,B
193,B
194,C
195,B
196,A
197,B
198,A
199,C
200,B
201,B
202,B
203,B
204,A
205,B
206,B
207,B
208,A
209,B
210,B
211,C
212,B
213,A
214,B
215,A
216,A
217,B
218,C
219,B
220,C
221,A
222,A
223,B
224,B
225,B
226,A
227,B
228,B
229,A
230,A
231,A
232,A
233,A
234,B
235,C
236,B
237,A
238,A
239,A
240,B
241,B
242,B
243,C
244,A
245,B
246,A
247,A
248,B
249,B
250,B
251,B
252,C
253,A
254,B
255,A
256,B
